Common Name,Scientific Name,Element Code,Species Group (Broad),Species Group (Fine),NatureServe Global Rank,NatureServe Rounded Global Rank,U.S. Endangered Species Act Status,COSEWIC Status,SARA Status,Distribution,View on NatureServe Explorer
Wyoming Toad,Anaxyrus baxteri,AAABB01220,Vertebrates,Amphibians,G1,G1,Endangered,,,United States: WY (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101600/Anaxyrus_baxteri
Black Toad,Anaxyrus exsul,AAABB01070,Vertebrates,Amphibians,G1,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101917/Anaxyrus_exsul
Houston Toad,Anaxyrus houstonensis,AAABB01090,Vertebrates,Amphibians,G1,G1,Endangered,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103748/Anaxyrus_houstonensis
Hot Creek Toad,Anaxyrus monfontanus,AAABB01260,Vertebrates,Amphibians,G1,G1,,,,United States: NV (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1154629/Anaxyrus_monfontanus
Railroad Valley Toad,Anaxyrus nevadensis,AAABB01250,Vertebrates,Amphibians,G1,G1,,,,United States: NV (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1154635/Anaxyrus_nevadensis
Dixie Valley Toad,Anaxyrus williamsi,AAABB01X10,Vertebrates,Amphibians,G1,G1,,,,United States: NV (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106026/Anaxyrus_williamsi
Hickory Nut Gorge Green Salamander,Aneides caryaensis,AAAAD01100,Vertebrates,Amphibians,G1,G1,,,,United States: NC (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1157658/Aneides_caryaensis
Lesser Slender Salamander,Batrachoseps minor,AAAAD02170,Vertebrates,Amphibians,G1,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101886/Batrachoseps_minor
Relictual Slender Salamander,Batrachoseps relictus,AAAAD02070,Vertebrates,Amphibians,G1,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.889920/Batrachoseps_relictus
Salado Salamander,Eurycea chisholmensis,AAAAD05190,Vertebrates,Amphibians,G1,G1,Threatened,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103095/Eurycea_chisholmensis
San Marcos Salamander,Eurycea nana,AAAAD05070,Vertebrates,Amphibians,G1,G1,Threatened,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106379/Eurycea_nana
Georgetown Salamander,Eurycea naufragia,AAAAD05210,Vertebrates,Amphibians,G1,G1,Threatened,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105895/Eurycea_naufragia
Texas Salamander,Eurycea neotenes,AAAAD05080,Vertebrates,Amphibians,G1G2,G1,,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105042/Eurycea_neotenes
Texas Blind Salamander,Eurycea rathbuni,AAAAD05250,Vertebrates,Amphibians,G1,G1,Endangered,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103877/Eurycea_rathbuni
Blanco Blind Salamander,Eurycea robusta,AAAAD05260,Vertebrates,Amphibians,G1,G1,,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104377/Eurycea_robusta
Barton Springs Salamander,Eurycea sosorum,AAAAD05170,Vertebrates,Amphibians,G1,G1,Endangered,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104730/Eurycea_sosorum
Bog Dwarf Salamander,Eurycea sphagnicola,AAAAD05130,Vertebrates,Amphibians,G1G2,G1,,,,"United States: AL (SNR), FL (S1), MS (SNR)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.23.31884/Eurycea_sphagnicola
Ouachita Streambed Salamander,Eurycea subfluvicola,AAAAD05330,Vertebrates,Amphibians,G1,G1,,,,United States: AR (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.949512/Eurycea_subfluvicola
Austin Blind Salamander,Eurycea waterlooensis,AAAAD05310,Vertebrates,Amphibians,G1,G1,Endangered,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102183/Eurycea_waterlooensis
Berry Cave Salamander,Gyrinophilus gulolineatus,AAAAD06040,Vertebrates,Amphibians,G1Q,G1,,,,United States: TN (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104271/Gyrinophilus_gulolineatus
West Virginia Spring Salamander,Gyrinophilus subterraneus,AAAAD06030,Vertebrates,Amphibians,G1,G1,,,,United States: WV (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101890/Gyrinophilus_subterraneus
Relict Leopard Frog,Lithobates onca,AAABH01150,Vertebrates,Amphibians,G1G2,G1,,,,"United States: AZ (S1), NV (S1), UT (SX)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106274/Lithobates_onca
Dusky Gopher Frog,Lithobates sevosus,AAABH01310,Vertebrates,Amphibians,G1,G1,Endangered,,,"United States: AL (SH), LA (SH), MS (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103781/Lithobates_sevosus
Black Warrior Waterdog,Necturus alabamensis,AAAAE01010,Vertebrates,Amphibians,G1,G1,Endangered,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100237/Necturus_alabamensis
Cheoah Bald Salamander,Plethodon cheoah,AAAAD12480,Vertebrates,Amphibians,G1G2,G1,,,,United States: NC (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104640/Plethodon_cheoah
Dixie Cavern Salamander,Plethodon dixi,AAAAD12570,Vertebrates,Amphibians,G1,G1,,,,United States: VA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1076787/Plethodon_dixi
Jemez Mountains Salamander,Plethodon neomexicanus,AAAAD12110,Vertebrates,Amphibians,G1G2,G1,Endangered,,,United States: NM (S2),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101803/Plethodon_neomexicanus
Cheat Mountain Salamander,Plethodon nettingi,AAAAD12120,Vertebrates,Amphibians,G1G2,G1,Threatened,,,United States: WV (S2),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101589/Plethodon_nettingi
Sequoyah Slimy Salamander,Plethodon sequoyah,AAAAD12340,Vertebrates,Amphibians,G1,G1,,,,"United States: AR (S1), OK (S2)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102921/Plethodon_sequoyah
Shenandoah Salamander,Plethodon shenandoah,AAAAD12170,Vertebrates,Amphibians,G1,G1,Endangered,,,United States: VA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101967/Plethodon_shenandoah
Southern Mountain Yellow-legged Frog,Rana muscosa,AAABH01330,Vertebrates,Amphibians,G1,G1,Endangered,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.802507/Rana_muscosa
Patch-nosed Salamander,Urspelerpes brucei,AAAAD17010,Vertebrates,Amphibians,G1,G1,,,,"United States: GA (S1), SC (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.829323/Urspelerpes_brucei
Millerbird,Acrocephalus familiaris,ABPBJ03010,Vertebrates,Birds,G1,G1,,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106080/Acrocephalus_familiaris
Mariana Swiftlet,Aerodramus bartschi,ABNUA09010,Vertebrates,Birds,G1,G1,Endangered,,,United States: HI (SNA),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101607/Aerodramus_bartschi
Tricolored Blackbird,Agelaius tricolor,ABPBXB0020,Vertebrates,Birds,G1G2,G1,,,,"United States: CA (S1), NV (S1B), OR (S1B)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101015/Agelaius_tricolor
Laysan Duck,Anas laysanensis,ABNJB10080,Vertebrates,Birds,G1G2,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101903/Anas_laysanensis
Florida Scrub-Jay,Aphelocoma coerulescens,ABPAV06010,Vertebrates,Birds,G1G2,G1,Threatened,,,United States: FL (S2),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103378/Aphelocoma_coerulescens
Island Scrub Jay,Aphelocoma insularis,ABPAV06050,Vertebrates,Birds,G1,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101002/Aphelocoma_insularis
Oahu 'Elepaio,Chasiempis ibidis,ABPBJ11012,Vertebrates,Birds,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102764/Chasiempis_ibidis
Whooping Crane,Grus americana,ABNMK01030,Vertebrates,Birds,G1,G1,"Endangered; Experimental population, non-essential",Endangered,Endangered/En voie de disparition,"Canada: AB (S1B), MB (SXB,S1M), NT (S1), ON (SNA), SK (SXB,S1M), United States: AL (S1N), AR (SX), FL (SNR), GA (S1), IA (SXB), IL (SX), IN (S1N,S1M), KS (S1N), KY (SNA), LA (SH), MN (SXB,SNRM), MT (S1M), ND (SX), NE (S1), OK (S1M), SC (S1N), SD (SNA), TN (SX), TX (S1N), UT (SXM), WI (SXB)",https://explorer.natureserve.org/Taxon ELEMENT_GLOBAL.2.102973/Grus_americana
California Condor,Gymnogyps californianus,ABNKA03010,Vertebrates,Birds,G1,G1,"Endangered; Experimental population, non-essential",,,"Canada: AB (SX), BC (SX), United States: AZ (SX,S1), CA (S1), OR (SX), WA (SX)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101273/Gymnogyps_californianus
Akiapolaau,Hemignathus wilsoni,ABPBY16070,Vertebrates,Birds,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102827/Hemignathus_wilsoni
Cassia Crossbill,Loxia sinesciuris,ABPBY05040,Vertebrates,Birds,G1,G1,,,,United States: ID (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.815565/Loxia_sinesciuris
Palila,Loxioides bailleui,ABPBY12010,Vertebrates,Birds,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100896/Loxioides_bailleui
`Akepa,Loxops coccineus,ABPBY19011,Vertebrates,Birds,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104701/Loxops_coccineus
Puaiohi,Myadestes palmeri,ABPBJ16120,Vertebrates,Birds,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103255/Myadestes_palmeri
Akikiki,Oreomystis bairdi,ABPBY17010,Vertebrates,Birds,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100733/Oreomystis_bairdi
Akohekohe,Palmeria dolei,ABPBY23010,Vertebrates,Birds,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104015/Palmeria_dolei
Short-tailed Albatross,Phoebastria albatrus,ABNDA01020,Vertebrates,Birds,G1,G1,Endangered,Threatened,Threatened/Menacée,"Canada: BC (S1N), United States: AK (S1N), CA (S1), HI (S1), WA (SNA)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103001/Phoebastria_albatrus
