common_name,scientific_name,element_code
Wyoming Toad,Anaxyrus baxteri,AAABB01220
Black Toad,Anaxyrus exsul,AAABB01070
Houston Toad,Anaxyrus houstonensis,AAABB01090
Hot Creek Toad,Anaxyrus monfontanus,AAABB01260
Railroad Valley Toad,Anaxyrus nevadensis,AAABB01250
Dixie Valley Toad,Anaxyrus williamsi,AAABB01X10
Hickory Nut Gorge Green Salamander,Aneides caryaensis,AAAAD01100
Lesser Slender Salamander,Batrachoseps minor,AAAAD02170
Relictual Slender Salamander,Batrachoseps relictus,AAAAD02070
Salado Salamander,Eurycea chisholmensis,AAAAD05190
San Marcos Salamander,Eurycea nana,AAAAD05070
Georgetown Salamander,Eurycea naufragia,AAAAD05210
Texas Salamander,Eurycea neotenes,AAAAD05080
Texas Blind Salamander,Eurycea rathbuni,AAAAD05250
Blanco Blind Salamander,Eurycea robusta,AAAAD05260
Barton Springs Salamander,Eurycea sosorum,AAAAD05170
Bog Dwarf Salamander,Eurycea sphagnicola,AAAAD05130
Ouachita Streambed Salamander,Eurycea subfluvicola,AAAAD05330
Austin Blind Salamander,Eurycea waterlooensis,AAAAD05310
Berry Cave Salamander,Gyrinophilus gulolineatus,AAAAD06040
West Virginia Spring Salamander,Gyrinophilus subterraneus,AAAAD06030
Relict Leopard Frog,Lithobates onca,AAABH01150
Dusky Gopher Frog,Lithobates sevosus,AAABH01310
Black Warrior Waterdog,Necturus alabamensis,AAAAE01010
Cheoah Bald Salamander,Plethodon cheoah,AAAAD12480
Dixie Cavern Salamander,Plethodon dixi,AAAAD12570
Jemez Mountains Salamander,Plethodon neomexicanus,AAAAD12110
Cheat Mountain Salamander,Plethodon nettingi,AAAAD12120
Sequoyah Slimy Salamander,Plethodon sequoyah,AAAAD12340
Shenandoah Salamander,Plethodon shenandoah,AAAAD12170
Southern Mountain Yellow-legged Frog,Rana muscosa,AAABH01330
Patch-nosed Salamander,Urspelerpes brucei,AAAAD17010
Millerbird,Acrocephalus familiaris,ABPBJ03010
Mariana Swiftlet,Aerodramus bartschi,ABNUA09010
Tricolored Blackbird,Agelaius tricolor,ABPBXB0020
Laysan Duck,Anas laysanensis,ABNJB10080
Florida Scrub-Jay,Aphelocoma coerulescens,ABPAV06010
Island Scrub Jay,Aphelocoma insularis,ABPAV06050
Oahu 'Elepaio,Chasiempis ibidis,ABPBJ11012
